reaction_time:348ship_height:500,[0.0338496]
reaction_time:349ship_height:500,[0.03509425]
reaction_time:350ship_height:500,[0.02949252]
reaction_time:351ship_height:500,[0.02709434]
reaction_time:352ship_height:500,[0.03174342]
reaction_time:353ship_height:500,[0.03133398]
reaction_time:354ship_height:500,[0.03207403]
reaction_time:355ship_height:500,[0.03046858]
reaction_time:356ship_height:500,[0.02969808]
reaction_time:357ship_height:500,[0.03319572]
reaction_time:358ship_height:500,[0.03011012]
reaction_time:359ship_height:500,[0.03387401]
reaction_time:360ship_height:500,[0.03006251]
reaction_time:361ship_height:500,[0.02936412]
reaction_time:362ship_height:500,[0.03041645]
reaction_time:363ship_height:500,[0.02641715]
reaction_time:364ship_height:500,[0.03276158]
reaction_time:365ship_height:500,[0.03352457]
reaction_time:366ship_height:500,[0.03568554]
reaction_time:367ship_height:500,[0.03032055]
reaction_time:368ship_height:500,[0.03205594]
reaction_time:369ship_height:500,[0.03934448]
reaction_time:370ship_height:500,[0.02832843]
reaction_time:371ship_height:500,[0.03243785]
reaction_time:372ship_height:500,[0.0325993]
reaction_time:373ship_height:500,[0.02894966]
reaction_time:374ship_height:500,[0.04391096]
reaction_time:375ship_height:500,[0.02940131]
reaction_time:376ship_height:500,[0.03192215]
reaction_time:377ship_height:500,[0.02728558]
reaction_time:378ship_height:500,[0.03164856]
reaction_time:379ship_height:500,[0.03289017]
reaction_time:380ship_height:500,[0.03520509]
reaction_time:381ship_height:500,[0.02837022]
reaction_time:382ship_height:500,[0.03595577]
reaction_time:383ship_height:500,[0.03892921]
reaction_time:384ship_height:500,[0.03546102]
reaction_time:385ship_height:500,[0.03403075]
reaction_time:386ship_height:500,[0.02856653]
reaction_time:387ship_height:500,[0.03251315]
reaction_time:388ship_height:500,[0.03638471]
reaction_time:389ship_height:500,[0.03850356]
reaction_time:390ship_height:500,[0.03601484]
reaction_time:391ship_height:500,[0.03283146]
reaction_time:392ship_height:500,[0.0320274]
reaction_time:393ship_height:500,[0.03513358]
reaction_time:394ship_height:500,[0.02780969]
reaction_time:395ship_height:500,[0.03335475]
reaction_time:396ship_height:500,[0.03779764]
reaction_time:397ship_height:500,[0.02981232]
reaction_time:398ship_height:500,[0.02788435]
reaction_time:399ship_height:500,[0.03708213]
reaction_time:400ship_height:500,[0.03613728]
reaction_time:401ship_height:500,[0.037777]
reaction_time:402ship_height:500,[0.03470142]
reaction_time:403ship_height:500,[0.02984467]
reaction_time:404ship_height:500,[0.03178677]
reaction_time:405ship_height:500,[0.0365024]
reaction_time:406ship_height:500,[0.04115348]
reaction_time:407ship_height:500,[0.03532188]
reaction_time:408ship_height:500,[0.0417414]
reaction_time:409ship_height:500,[0.0318697]
reaction_time:410ship_height:500,[0.03140449]
reaction_time:411ship_height:500,[0.04037954]
reaction_time:412ship_height:500,[0.04049701]
reaction_time:413ship_height:500,[0.03293191]
reaction_time:414ship_height:500,[0.0371409]
reaction_time:415ship_height:500,[0.03501456]
reaction_time:416ship_height:500,[0.03389421]
reaction_time:417ship_height:500,[0.03219431]
reaction_time:418ship_height:500,[0.03732037]
reaction_time:419ship_height:500,[0.03609953]
reaction_time:420ship_height:500,[0.0313634]
reaction_time:421ship_height:500,[0.03553872]
reaction_time:422ship_height:500,[0.03426824]
reaction_time:423ship_height:500,[0.03637713]
reaction_time:424ship_height:500,[0.03519526]
reaction_time:425ship_height:500,[0.03509329]
reaction_time:426ship_height:500,[0.03861104]
reaction_time:427ship_height:500,[0.03324254]
reaction_time:428ship_height:500,[0.04170431]
reaction_time:429ship_height:500,[0.04201076]
reaction_time:430ship_height:500,[0.03529729]
reaction_time:431ship_height:500,[0.03701776]
reaction_time:432ship_height:500,[0.04024358]
reaction_time:433ship_height:500,[0.03021242]
reaction_time:434ship_height:500,[0.03978149]
reaction_time:435ship_height:500,[0.03429845]
reaction_time:436ship_height:500,[0.03322247]
reaction_time:437ship_height:500,[0.03271682]
reaction_time:438ship_height:500,[0.04116405]
reaction_time:439ship_height:500,[0.04002134]
reaction_time:440ship_height:500,[0.04297344]
reaction_time:441ship_height:500,[0.03616726]
reaction_time:442ship_height:500,[0.0378296]
reaction_time:443ship_height:500,[0.03425834]
reaction_time:444ship_height:500,[0.05185491]
reaction_time:445ship_height:500,[0.03896472]
reaction_time:446ship_height:500,[0.03989295]
reaction_time:447ship_height:500,[0.0413549]
reaction_time:448ship_height:500,[0.03423295]
reaction_time:449ship_height:500,[0.04343014]
reaction_time:450ship_height:500,[0.04233656]
reaction_time:451ship_height:500,[0.03089895]
reaction_time:452ship_height:500,[0.04295658]
reaction_time:453ship_height:500,[0.04816028]
reaction_time:454ship_height:500,[0.04862298]
reaction_time:455ship_height:500,[0.04071072]
reaction_time:456ship_height:500,[0.04063449]
reaction_time:457ship_height:500,[0.03562878]
