reaction_time:0ship_height:500,[nan]
reaction_time:279ship_height:500,[0.94757741]
reaction_time:280ship_height:500,[0.95096273]
reaction_time:281ship_height:500,[0.9521718]
reaction_time:282ship_height:500,[0.95027915]
reaction_time:283ship_height:500,[0.9455455]
reaction_time:284ship_height:500,[0.95540257]
reaction_time:285ship_height:500,[0.94799387]
reaction_time:286ship_height:500,[0.94479423]
reaction_time:287ship_height:500,[0.94477156]
reaction_time:288ship_height:500,[0.94640944]
reaction_time:289ship_height:500,[0.94545282]
reaction_time:290ship_height:500,[0.9431432]
reaction_time:291ship_height:500,[0.94354263]
reaction_time:292ship_height:500,[0.94751799]
reaction_time:293ship_height:500,[0.94576146]
reaction_time:294ship_height:500,[0.94804849]
reaction_time:295ship_height:500,[0.94657603]
reaction_time:296ship_height:500,[0.95056387]
reaction_time:297ship_height:500,[0.94083633]
reaction_time:298ship_height:500,[0.94154048]
reaction_time:299ship_height:500,[0.94739994]
reaction_time:300ship_height:500,[0.9298343]
reaction_time:301ship_height:500,[0.94186521]
reaction_time:302ship_height:500,[0.93749116]
reaction_time:303ship_height:500,[0.933975]
reaction_time:304ship_height:500,[0.94107351]
reaction_time:305ship_height:500,[0.93616295]
reaction_time:306ship_height:500,[0.92956981]
reaction_time:307ship_height:500,[0.93800322]
reaction_time:308ship_height:500,[0.93908455]
reaction_time:309ship_height:500,[0.93534979]
reaction_time:310ship_height:500,[0.93635268]
reaction_time:311ship_height:500,[0.94370358]
reaction_time:312ship_height:500,[0.93368411]
reaction_time:313ship_height:500,[0.93742421]
reaction_time:314ship_height:500,[0.93425498]
reaction_time:315ship_height:500,[0.93661647]
reaction_time:316ship_height:500,[0.93199359]
reaction_time:317ship_height:500,[0.92712238]
reaction_time:318ship_height:500,[0.92995717]
reaction_time:319ship_height:500,[0.92278002]
reaction_time:320ship_height:500,[0.93440827]
reaction_time:321ship_height:500,[0.93343366]
reaction_time:322ship_height:500,[0.92437249]
reaction_time:323ship_height:500,[0.92251257]
reaction_time:324ship_height:500,[0.93007179]
reaction_time:325ship_height:500,[0.92545854]
reaction_time:326ship_height:500,[0.93249545]
reaction_time:327ship_height:500,[0.9265297]
